Index,Cycle,Step,StepSeq,Mode,TestTime_s,StepTime_s,Voltage_V,Current_mA,Capacity_mAh,Energy_mWh,DateTime
214,2,3,5,CC_Chg,12454.2,2160,1.5841,0.03968,0.0238433,0.0359157,2026-07-16 07:48:21.170
215,2,3,5,CC_Chg,12514.2,2220,1.58627,0.03968,0.0245053,0.0369651,2026-07-16 07:49:21.170
216,2,3,5,CC_Chg,12574.2,2280,1.58859,0.03968,0.0251676,0.0380164,2026-07-16 07:50:21.170
217,2,3,5,CC_Chg,12634.2,2340,1.59076,0.03968,0.0258296,0.0390689,2026-07-16 07:51:21.170
218,2,3,5,CC_Chg,12694.2,2400,1.5934,0.03968,0.0264915,0.0401227,2026-07-16 07:52:21.170
219,2,3,5,CC_Chg,12754.2,2460,1.59634,0.03968,0.0271535,0.0411785,2026-07-16 07:53:21.170
220,2,3,5,CC_Chg,12814.2,2520,1.60007,0.03999,0.0278155,0.0422366,2026-07-16 07:54:21.170
221,2,3,5,CC_Chg,12874.2,2580,1.60379,0.03968,0.0284777,0.0432974,2026-07-16 07:55:21.170
222,2,3,5,CC_Chg,12934.2,2640,1.6089,0.03999,0.02914,0.0443612,2026-07-16 07:56:21.170
223,2,3,5,CC_Chg,12994.2,2700,1.61603,0.03968,0.029802,0.0454286,2026-07-16 07:57:21.170
224,2,3,5,CC_Chg,13054.2,2760,1.62626,0.03968,0.0304644,0.0465023,2026-07-16 07:58:21.170
225,2,3,5,CC_Chg,13114.2,2820,1.63928,0.03999,0.0311267,0.0475837,2026-07-16 07:59:21.170
226,2,3,5,CC_Chg,13174.2,2880,1.65354,0.03968,0.0317886,0.0486735,2026-07-16 08:00:21.170
227,2,3,5,CC_Chg,13234.2,2940,1.66811,0.03968,0.0324505,0.0497729,2026-07-16 08:01:21.170
228,2,3,5,CC_Chg,13294.2,3000,1.6819,0.03968,0.0331126,0.050882,2026-07-16 08:02:21.170
